performance_id,campaign_id,influencer_id,views,likes,comments,clicks,conversions,platform
1,7,20,9326,6404,3136,4931,3839,TikTok
2,5,18,2504,569,559,323,179,Instagram
3,5,14,21730,14967,63,11880,11796,YouTube
4,9,6,67542,14047,10254,4939,4163,TikTok
5,4,5,50009,10687,8847,8739,14,TikTok
6,6,16,3552,558,381,499,430,YouTube
7,4,2,32571,28870,18601,2630,355,TikTok
8,8,3,70822,16583,4217,15624,15518,TikTok
9,3,9,70163,55561,13890,35393,13187,TikTok
10,5,13,89039,85280,48954,57472,33924,YouTube
11,2,8,30451,2198,1394,136,63,TikTok
12,4,1,10305,1064,478,119,9,YouTube
13,2,17,32195,9225,7963,3560,2213,Instagram
14,10,19,62953,16025,12865,7799,6620,YouTube
15,4,4,13704,10896,7072,5854,3474,YouTube
16,8,2,89259,85749,84706,12949,998,YouTube
17,6,4,33591,12656,3126,8836,7355,Instagram
18,7,6,37509,30418,8195,28705,2475,YouTube
19,9,4,7630,5442,4438,170,28,Instagram
20,3,14,64653,31646,7014,28382,13146,Instagram
21,3,13,1282,899,281,852,808,YouTube
22,5,14,92303,72945,63798,20339,6227,YouTube
23,4,2,76914,71166,7999,41154,3751,Instagram
24,10,16,66909,20735,1873,16690,2630,Instagram
25,2,20,9907,3953,1663,541,257,TikTok
26,10,2,82183,10845,6878,10820,9567,TikTok
27,9,11,35179,13486,10982,11784,5152,Instagram
28,5,13,18154,9930,7501,5230,599,Instagram
29,8,20,74792,13204,1210,8858,3497,TikTok
30,5,5,46745,4608,2011,3077,1172,Instagram
31,8,18,93214,39751,34674,562,311,TikTok
32,2,5,35664,7664,7298,926,765,TikTok
33,3,9,37930,13903,11767,5667,1672,TikTok
34,5,17,65032,16557,1674,3074,2603,YouTube
35,5,2,1464,783,143,702,273,Instagram
36,8,18,93493,56157,36769,683,119,Instagram
37,3,18,5722,3124,2395,2313,611,YouTube
38,3,2,41404,23997,1317,11774,3446,TikTok
39,4,4,47357,36792,26642,10178,3883,Instagram
40,3,14,4248,1569,1518,730,426,TikTok
41,4,9,21866,3642,1576,3622,163,YouTube
42,4,7,61332,23015,10010,7507,1831,Instagram
43,4,13,44025,18358,2284,9196,5758,TikTok
44,9,13,90065,70382,43414,3667,477,YouTube
45,3,19,35795,2607,454,2493,1784,YouTube
46,6,14,80457,67133,15167,50538,37792,Instagram
47,5,2,93901,57254,120,34123,12917,YouTube
48,7,3,88062,43379,40849,20622,4088,TikTok
49,5,17,41538,26864,10698,13235,11428,YouTube
50,9,5,26144,13877,10904,6261,5553,TikTok
51,3,20,75593,39546,26622,35959,31,YouTube
52,5,7,57346,51595,38019,39808,21123,YouTube
53,8,15,89555,28110,16760,15555,13009,TikTok
54,3,3,38196,33880,21976,6170,6158,Instagram
55,5,8,27100,4928,210,428,130,YouTube
56,10,3,60692,27260,20646,18913,6376,TikTok
57,7,16,53383,16089,2427,10798,95,Instagram
58,7,8,24053,22903,16982,15272,827,TikTok
59,4,4,60829,8838,7622,8752,5203,YouTube
60,10,17,56933,54532,35915,29273,5220,TikTok
